ebird_scientific_name,ebird_common_name,birdlife_v4_2010_scientific_name
Merops mentalis,Blue-moustached Bee-eater,Merops muelleri
Merops americanus,Rufous-crowned Bee-eater,Merops viridis
Ceyx margarethae,Dimorphic Dwarf-Kingfisher,Ceyx lepidus
Ceyx flumenicola,Northern Silvery-Kingfisher,Alcedo argentata
Corythornis cristatus,Malachite Kingfisher,Alcedo cristata
Halcyon gularis,Brown-breasted Kingfisher,Halcyon smyrnensis
Alaudala rufescens,Lesser Short-toed Lark,Calandrella brachydactyla
Alaudala cheleensis,Asian Short-toed Lark,Calandrella brachydactyla
Calandrella dukhunensis,Sykes's Short-toed Lark,Calandrella brachydactyla
Calandrella blanfordi,Blanford's Lark,Calandrella brachydactyla
Mirafra fasciolata,Eastern Clapper Lark,Mirafra apiata
Erythropitta celebensis,Sulawesi Pitta,Pitta erythrogaster
Lanius borealis,Northern Shrike,Lanius excubitor
Eurocephalus ruppelli,White-rumped Shrike,Eurocephalus rueppelli
Lanius phoenicuroides,Red-tailed Shrike,Lanius isabellinus
Machaeropterus striolatus,Striolated Manakin,Machaeropterus regulus
Cryptopipo holochlora,Green Manakin,Machaeropterus regulus
Dicrurus annectens,Crow-billed Drongo,Dicrurus annectans
Dicrurus lophorinus,Sri Lanka Drongo,Dicrurus paradiseus
Sitta cinnamoventris,Chestnut-bellied Nuthatch,Sitta castanea
Sitta przewalskii,Przevalski's Nuthatch,Sitta leucopsis
Acridotheres burmannicus,Vinous-breasted Starling,Sturnus burmannicus
Saroglossa spilopterus,Spot-winged Starling,Saroglossa spiloptera
Gracula enganensis,Enggano Myna,Gracula religiosa
Acridotheres javanicus,Javan Myna,Acridotheres cinereus
Gracula robusta,Nias Myna,Gracula religiosa
Gracupica contra,Asian Pied Starling,Sturnus contra
Rhabdornis rabori,Visayan Rhabdornis,Rhabdornis inornatus
Acridotheres melanopterus,Black-winged Starling,Sturnus melanopterus
Gracula indica,Southern Hill Myna,Gracula religiosa
Pheugopedius sclateri,Speckle-breasted Wren,Thryothorus sclateri
Troglodytes hiemalis,Winter Wren,Troglodytes troglodytes
Cantorchilus modestus,Cabanis's Wren,Thryothorus modestus
Thryophilus sernai,Antioquia Wren,Thryothorus nicefori
Troglodytes pacificus,Pacific Wren,Troglodytes troglodytes
Buphagus erythrorynchus,Red-billed Oxpecker,Buphagus erythrorhynchus
Hypsipetes ganeesa,Square-tailed Bulbul,Hypsipetes leucocephalus
Brachypodius atriceps,Black-headed Bulbul,Pycnonotus atriceps
Ixos virescens,Sunda Bulbul,Hypsipetes virescens
Calyptocichla serinus,Golden Greenbul,Calyptocichla serina
Atimastillas flavicollis,Yellow-throated Greenbul,Chlorocichla flavicollis
Iole viridescens,Olive Bulbul,Iole virescens
Rubigula flaviventris,Black-crested Bulbul,Pycnonotus melanicterus
Iole cacharensis,Cachar Bulbul,Iole virescens
Iole crypta,Buff-vented Bulbul,Iole olivacea
Arizelocichla fusciceps,Black-browed Mountain Greenbul,Andropadus nigriceps
Arizelocichla nigriceps,Eastern Mountain Greenbul,Andropadus nigriceps
Iole charlottae,Charlotte's Bulbul,Iole olivacea
Rubigula dispar,Ruby-throated Bulbul,Pycnonotus melanicterus
Rubigula gularis,Flame-throated Bulbul,Pycnonotus melanicterus
Hemixos cinereus,Cinereous Bulbul,Hemixos flavala
Pycnonotus snouckaerti,Aceh Bulbul,Pycnonotus bimaculatus
Cecropis striolata,Striated Swallow,Hirundo daurica
Cecropis daurica,Red-rumped Swallow,Hirundo daurica
Riparia diluta,Pale Sand Martin,Riparia riparia
Atronanus fuliginosus,Forest Swallow,Hirundo fuliginosa
Cecropis hyperythra,Sri Lanka Swallow,Hirundo daurica
Riparia chinensis,Gray-throated Martin,Riparia paludicola
Cecropis badia,Rufous-bellied Swallow,Hirundo daurica
Rhipidura nigritorquis,Philippine Pied-Fantail,Rhipidura javanica
Rhipidura albiventris,Visayan Fantail,Rhipidura cyaniceps
Rhipidura samarensis,Visayan Blue-Fantail,Rhipidura superciliaris
Rhipidura albogularis,Spot-breasted Fantail,Rhipidura albicollis
Rhipidura albiscapa,Gray Fantail,Rhipidura fuliginosa
Grallaria urraoensis,Urrao Antpitta,Grallaria fenwickorum
Grallaricula leymebambae,Leymebamba Antpitta,Grallaricula ferrugineipectus
Salpornis salvadori,African Spotted Creeper,Salpornis spilonotus
Salpornis spilonota,Indian Spotted Creeper,Salpornis spilonotus
Dicaeum melanozanthum,Yellow-bellied Flowerpecker,Dicaeum melanoxanthum
Dicaeum minullum,Plain Flowerpecker,Dicaeum concolor
Scytalopus alvarezlopezi,Tatama Tapaculo,Scytalopus robbinsi
Scytalopus gonzagai,Boa Nova Tapaculo,Scytalopus speluncae
Scytalopus perijanus,Perija Tapaculo,Scytalopus latebricola
Scytalopus opacus,Paramo Tapaculo,Scytalopus canus
Scytalopus petrophilus,Rock Tapaculo,Scytalopus novacapitalis
Scytalopus diamantinensis,Diamantina Tapaculo,Scytalopus novacapitalis
Edolisoma tenuirostre,Common Cicadabird,Coracina tenuirostris
Oriolus kundoo,Indian Golden Oriole,Oriolus oriolus
Oriolus brachyrynchus,Western Black-headed Oriole,Oriolus brachyrhynchus
Myiothlypis chrysogaster,Golden-bellied Warbler,Basileuterus chrysogaster
Myiothlypis rivularis,Riverbank Warbler,Phaeothlypis rivularis
Myiothlypis luteoviridis,Citrine Warbler,Basileuterus luteoviridis
Phylloscopus xanthodryas,Japanese Leaf Warbler,Phylloscopus borealis
Phylloscopus plumbeitarsus,Two-barred Warbler,Phylloscopus trochiloides
Phylloscopus calciatilis,Limestone Leaf Warbler,Phylloscopus ricketti
Phylloscopus examinandus,Kamchatka Leaf Warbler,Phylloscopus borealis
Phylloscopus grammiceps,Sunda Warbler,Seicercus grammiceps
Schiffornis olivacea,Olivaceous Schiffornis,Schiffornis turdina
Schiffornis veraepacis,Northern Schiffornis,Schiffornis turdina
Schiffornis stenorhyncha,Russet-winged Schiffornis,Schiffornis turdina
Turdus niveiceps,Taiwan Thrush,Turdus poliocephalus
Zoothera griseiceps,Sichuan Thrush,Zoothera mollissima
Zoothera salimalii,Himalayan Thrush,Zoothera mollissima
Turdus eunomus,Dusky Thrush,Turdus naumanni
Turdus maximus,Tibetan Blackbird,Turdus merula
Turdus simillimus,Indian Blackbird,Turdus merula
Turdus atrogularis,Black-throated Thrush,Turdus ruficollis
Turdus libonyana,Kurrichane Thrush,Turdus libonyanus
Turdus smithi,Karoo Thrush,Turdus olivaceus
Turdus abyssinicus,Abyssinian Thrush,Turdus olivaceus
Turdus mandarinus,Chinese Blackbird,Turdus merula
Turdus sanchezorum,Varzea Thrush,Turdus hauxwelli
Aegithalos glaucogularis,Silver-throated Tit,Aegithalos caudatus
Passer italiae,Italian Sparrow,Passer domesticus
Passer cinnamomeus,Russet Sparrow,Passer rutilans
Montifringilla henrici,Tibetan Snowfinch,Montifringilla nivalis
Sirystes albocinereus,White-rumped Sirystes,Sirystes sibilator
Elaenia sordida,Small-headed Elaenia,Elaenia obscura
Suiriri affinis,Chapada Flycatcher,Suiriri islerorum
Elaenia brachyptera,Coopmans's Elaenia,Elaenia chiriquensis
Pseudocolopteryx citreola,Ticking Doradito,Pseudocolopteryx flaviventris
Phelpsia inornata,White-bearded Flycatcher,Phelpsia inornatus
Sirystes subcanescens,Todd's Sirystes,Sirystes sibilator
Serpophaga griseicapilla,Straneck's Tyrannulet,Elaenia pallatangae
Zimmerius petersi,Venezuelan Tyrannulet,Zimmerius improbus
Emberiza goslingi,Gosling's Bunting,Emberiza tahapisi
Emberiza sahari,House Bunting,Emberiza striolata
Agelaioides fringillarius,Pale Baywing,Agelaioides badius
Dives warczewiczi,Scrub Blackbird,Dives warszewiczi
Icterus pyrrhopterus,Variable Oriole,Icterus cayanensis
Sporophila pileata,Pearly-bellied Seedeater,Sporophila bouvreuil
Sporophila beltoni,Tropeiro Seedeater,Sporophila plumbea
Pipraeidea bonariensis,Blue-and-yellow Tanager,Thraupis bonariensis
Sicalis mendozae,Monte Yellow-Finch,Sicalis olivascens
Sphenopsis melanotis,Black-eared Hemispingus,Hemispingus melanotis
Microspingus torquatus,Ringed Warbling-Finch,Poospiza torquata
Sporophila morelleti,Morelet's Seedeater,Sporophila torqueola
Paroaria nigrogenis,Masked Cardinal,Paroaria gularis
Kleinothraupis atropileus,Black-capped Hemispingus,Hemispingus atropileus
Coccopygia quartinia,Yellow-bellied Waxbill,Estrilda quartinia
Estrilda coerulescens,Lavender Waxbill,Estrilda caerulescens
Terpsiphone affinis,Blyth's Paradise-Flycatcher,Terpsiphone paradisi
Hypothymis puella,Pale-blue Monarch,Hypothymis azurea
Terpsiphone incei,Amur Paradise-Flycatcher,Terpsiphone paradisi
Terpsiphone batesi,Bates's Paradise-Flycatcher,Terpsiphone rufocinerea
Petroica boodang,Scarlet Robin,Petroica multicolor
Chelidorhynx hypoxanthus,Yellow-bellied Fairy-Fantail,Rhipidura hypoxantha
Drymophila klagesi,Klages's Antbird,Drymophila caudata
Epinecrophylla amazonica,Rio Madeira Stipplethroat,Epinecrophylla haematonota
Drymophila striaticeps,Streak-headed Antbird,Drymophila caudata
Frederickena unduliger,Undulated Antshrike,Frederickena unduligera
Hafferia immaculata,Blue-lored Antbird,Myrmeciza immaculata
Willisornis vidua,Xingu Scale-backed Antbird,Willisornis poecilinotus
Poliocrania exsul,Chestnut-backed Antbird,Myrmeciza exsul
Thamnophilus bernardi,Collared Antshrike,Sakesphorus bernardi
Cercomacroides nigrescens,Blackish Antbird,Cercomacra nigrescens
Hafferia zeledoni,Zeledon's Antbird,Myrmeciza immaculata
Formicivora grantsaui,Sincora Antwren,Formicivora rufa
Gymnopithys bicolor,Bicolored Antbird,Gymnopithys leucaspis
Anthus cinnamomeus,African Pipit,Anthus novaeseelandiae
Macronyx fuelleborni,Fülleborn's Longclaw,Macronyx fuellebornii
Anthus peruvianus,Peruvian Pipit,Anthus lutescens
Motacilla maderaspatensis,White-browed Wagtail,Motacilla madaraspatensis
Motacilla tschutschensis,Eastern Yellow Wagtail,Motacilla flava
Anthus nyassae,Woodland Pipit,Anthus similis
Artemisiospiza belli,Bell's Sparrow,Amphispiza belli
Artemisiospiza nevadensis,Sagebrush Sparrow,Amphispiza belli
Atlapetes blancae,Antioquia Brushfinch,
Arremon atricapillus,Black-headed Brushfinch,
Arremon perijanus,Perija Brushfinch,
Arremon phaeopleurus,Caracas Brushfinch,
Chlorospingus flavopectus,Common Chlorospingus,
Arremon assimilis,Gray-browed Brushfinch,
Cyanoloxia rothschildii,Amazonian Grosbeak,
Cyanoloxia cyanoides,Blue-black Grosbeak,
Cyanopica cooki,Iberian Magpie,
Urocissa erythroryncha,Red-billed Blue-Magpie,
Aphelocoma wollweberi,Mexican Jay,
Corvus pectoralis,Collared Crow,
Pica mauritanica,Maghreb Magpie,
Ptiliogonys cinereus,Gray Silky-flycatcher,
Cisticola cinnamomeus,Pale-crowned Cisticola,
Calamonastes undosus,Miombo Wren-Warbler,
Cisticola luapula,Luapula Cisticola,
Cisticola marginatus,Winding Cisticola,
Cisticola lugubris,Ethiopian Cisticola,
Oreolais pulcher,Black-collared Apalis,
Orthotomus chloronotus,Green-backed Tailorbird,
Cisticola haematocephalus,Coastal Cisticola,
Calamonastes stierlingi,Stierling's Wren-Warbler,
Cisticola nana,Tiny Cisticola,
Prinia superciliaris,Hill Prinia,
Cossypha albicapillus,White-crowned Robin-Chat,
Cercotrichas signata,Brown Scrub-Robin,
Cyornis brunneatus,Brown-chested Jungle-Flycatcher,
Cyornis sumatrensis,Indochinese Blue Flycatcher,
Larvivora akahige,Japanese Robin,
Ficedula luzoniensis,Bundok Flycatcher,
Copsychus mindanensis,Philippine Magpie-Robin,
Cyornis pallidipes,White-bellied Blue Flycatcher,
Myrmecocichla arnotti,Arnot's Chat,
Ficedula erithacus,Slaty-backed Flycatcher,
Cyanoptila cumatilis,Zappey's Flycatcher,
Tarsiger rufilatus,Himalayan Bluetail,
Monticola imerina,Littoral Rock-Thrush,
Thamnolaea semirufa,White-winged Cliff-Chat,
Oenanthe heuglini,Heuglin's Wheatear,
Brachypteryx cruralis,Himalayan Shortwing,
Brachypteryx sinensis,Chinese Shortwing,
Brachypteryx leucophris,Lesser Shortwing,
Phoenicurus coeruleocephala,Blue-capped Redstart,
Cyornis glaucicomans,Chinese Blue Flycatcher,
Cercotrichas quadrivirgata,Bearded Scrub-Robin,
Monticola cinclorhyncha,Blue-capped Rock-Thrush,
Cercotrichas leucosticta,Forest Scrub-Robin,
Brachypteryx goodfellowi,Taiwan Shortwing,
Alethe castanea,Fire-crested Alethe,
Larvivora komadori,Ryukyu Robin,
Calliope pectoralis,Himalayan Rubythroat,
Calliope tschebaiewi,Chinese Rubythroat,
Cercotrichas barbata,Miombo Scrub-Robin,
Ficedula elisae,Green-backed Flycatcher,
Sholicola major,Nilgiri Sholakili,
Locustella amnicola,Sakhalin Grasshopper-Warbler,
Locustella chengi,Sichuan Bush Warbler,
Cincloramphus timoriensis,Tawny Grassbird,
Locustella montis,Javan Bush Warbler,
Locustella thoracica,Spotted Bush Warbler,
Laniarius sublacteus,Zanzibar Boubou,
Pachycephala fulvotincta,Rusty-breasted Whistler,
Pachycephala cinerea,Mangrove Whistler,
Sittiparus owstoni,Owston's Tit,
Cyanistes caeruleus,Eurasian Blue Tit,
Sittiparus varius,Varied Tit,
Poecile lugubris,Sombre Tit,
Poecile weigoldicus,Sichuan Tit,
Melaniparus guineensis,White-shouldered Black-Tit,
Sittiparus castaneoventris,Chestnut-bellied Tit,
Melaniparus niger,Southern Black-Tit,
Cyanistes teneriffae,African Blue Tit,
Melaniparus rufiventris,Rufous-bellied Tit,
Sittiparus olivaceus,Iriomote Tit,
Cichlocolaptes mazarbarnetti,Cryptic Treehunter,
Lepidocolaptes duidae,Duida Woodcreeper,
Lepidocolaptes layardi,Layard's Woodcreeper,
Automolus subulatus,Striped Woodhaunter,
Xiphorhynchus atlanticus,Ceara Woodcreeper,
Ochetorhynchus melanurus,Crag Chilia,
Automolus lammi,Pernambuco Foliage-gleaner,
Lepidocolaptes fatimalimae,Inambari Woodcreeper,
Automolus paraensis,Para Foliage-gleaner,
Lepidocolaptes fuscicapillus,Rondonia Woodcreeper,
Premnornis guttuliger,Rusty-winged Barbtail,
Batis erlangeri,Western Black-headed Batis,
Platysteira hormophora,West African Wattle-eye,
Horornis flavolivaceus,Aberrant Bush Warbler,
Horornis vulcanius,Sunda Bush Warbler,
Acrocephalus orientalis,Oriental Reed Warbler,
Turdinus marmoratus,Marbled Wren-Babbler,
Napothera albostriata,Sumatran Wren-Babbler,
Graminicola striatus,Chinese Grassbird,
Laticilla cinerascens,Swamp Grass Babbler,
Aethopyga vigorsii,Vigors's Sunbird,
Leptocoma sperata,Purple-throated Sunbird,
Cinnyris manoensis,Eastern Miombo Sunbird,
Deleornis axillaris,Gray-headed Sunbird,
Aethopyga temminckii,Temminck's Sunbird,
Aethopyga guimarasensis,Maroon-naped Sunbird,
Anthreptes aurantius,Violet-tailed Sunbird,
Aethopyga magnifica,Magnificent Sunbird,
Deleornis fraseri,Fraser's Sunbird,
Anthreptes griseigularis,Gray-throated Sunbird,
Kurochkinegramma hypogrammicum,Purple-naped Spiderhunter,
Arachnothera modesta,Gray-breasted Spiderhunter,
Cinnyris gertrudis,Western Miombo Sunbird,
Leptocoma brasiliana,Van Hasselt's Sunbird,
Montecincla fairbanki,Palani Laughingthrush,
Turdoides reinwardtii,Blackcap Babbler,
Montecincla cachinnans,Nilgiri Laughingthrush,
Liocichla ripponi,Scarlet-faced Liocichla,
Tephrodornis virgatus,Large Woodshrike,
Tephrodornis affinis,Sri Lanka Woodshrike,
Tephrodornis sylvicola,Malabar Woodshrike,
Chrysocorythus estherae,Mountain Serin,
Carpodacus verreauxii,Sharpe's Rosefinch,
Carpodacus dubius,Chinese White-browed Rosefinch,
Carpodacus waltoni,Pink-rumped Rosefinch,
Crithagra reichardi,Reichard's Seedeater,
Carpodacus stoliczkae,Pale Rosefinch,
Crithagra gularis,Streaky-headed Seedeater,
Crithagra reichenowi,Reichenow's Seedeater,
Bucanetes mongolicus,Mongolian Finch,
Crithagra canicapilla,West African Seedeater,
Carpodacus formosanus,Taiwan Rosefinch,
Zosterops virens,Cape White-eye,
Zosterops melanurus,Sangkar White-eye,
Zosterops auriventer,Hume's White-eye,
Zosterops flavilateralis,Pale White-eye,
Zosterops simplex,Swinhoe's White-eye,
Zosterops kikuyuensis,Kikuyu White-eye,
Vireo chivi,Chivi Vireo,
Pteruthius ripleyi,Himalayan Shrike-Babbler,
Pteruthius aeralatus,Blyth's Shrike-Babbler,
Tunchiornis ochraceiceps,Tawny-crowned Greenlet,
Sylvia subalpina,Moltoni's Warbler,
Sylvia ruppeli,R�ppell's Warbler,
Sylvia subcoerulea,Chestnut-vented Warbler,
Sylvia abyssinica,African Hill Babbler,
Psittiparus bakeri,Rufous-headed Parrotbill,
Psittiparus ruficeps,White-breasted Parrotbill,
Sylvia crassirostris,Eastern Orphean Warbler,
Sinosuthora brunnea,Brown-winged Parrotbill,
Conostoma aemodium,Great Parrotbill,
Sylvia deserti,African Desert Warbler,
Mixornis flavicollis,Gray-cheeked Tit-Babbler,
Stachyris nonggangensis,Nonggang Babbler,
Cyanoderma erythropterum,Chestnut-winged Babbler,
Cyanoderma ambiguum,Buff-chested Babbler,
Cyanoderma rufifrons,Rufous-fronted Babbler,
Stachyris strialata,Spot-necked Babbler,
Trogon ramonianus,Amazonian Trogon,
Harpactes mackloti,Sumatran Trogon,
Upupa marginata,Madagascar Hoopoe,
Lophoceros fasciatus,African Pied Hornbill,
Horizocerus hartlaubi,Black Dwarf Hornbill,
Horizocerus albocristatus,White-crested Hornbill,
Ixobrychus dubius,Black-backed Bittern,
Ardea intermedia,Intermediate Egret,
Pseudibis gigantea,Giant Ibis,
Theristicus branickii,Andean Ibis,
Trichoglossus rubritorquis,Red-collared Lorikeet,
Psittacula calthrapae,Layard's Parakeet,
Trichoglossus moluccanus,Rainbow Lorikeet,
Orthopsittaca manilatus,Red-bellied Macaw,
Psittacara wagleri,Scarlet-fronted Parakeet,
Poicephalus fuscicollis,Brown-necked Parrot,
Eupsittula nana,Olive-throated Parakeet,
Amazona mercenarius,Scaly-naped Parrot,
Buteo trizonatus,Forest Buzzard,
Haliaeetus humilis,Lesser Fish-Eagle,
Buteo plagiatus,Gray Hawk,
Nisaetus pinskeri,Pinsker's Hawk-Eagle,
Aquila africana,Cassin's Hawk-Eagle,
Buteo japonicus,Eastern Buzzard,
Ictinaetus malaiensis,Black Eagle,
Haliaeetus ichthyaetus,Gray-headed Fish-Eagle,
Aquila fasciata,Bonelli's Eagle,
Buteo refectus,Himalayan Buzzard,
Pernis steerei,Philippine Honey-buzzard,
Pernis ptilorhynchus,Oriental Honey-buzzard,
Circus hudsonius,Northern Harrier,
Esacus magnirostris,Beach Thick-knee,
Burhinus indicus,Indian Thick-knee,
Turnix nanus,Black-rumped Buttonquail,
Stercorarius maccormicki,South Polar Skua,
Synthliboramphus scrippsi,Scripps's Murrelet,
Vanellus macropterus,Javan Lapwing,
Charadrius nivosus,Snowy Plover,
Gelochelidon nilotica,Gull-billed Tern,
Gallinago delicata,Wilson's Snipe,
Tauraco schuettii,Black-billed Turaco,
Amazilia saucerottei,Steely-vented Hummingbird,
Nesophlox evelynae,Bahama Woodstar,
Urochroa leucura,Green-backed Hillstar,
Eriocnemis aline,Emerald-bellied Puffleg,
Stephanoxis loddigesii,Purple-crowned Plovercrest,
Campylopterus calcirupicola,Dry-forest Sabrewing,
Sappho sparganurus,Red-tailed Comet,
Juliamyia julie,Violet-bellied Hummingbird,
Aglaiocercus kingii,Long-tailed Sylph,
Schistes albogularis,Choco Daggerbill,
Anthocephala berlepschi,Tolima Blossomcrown,
Systellura decussata,Tschudi's Nightjar,
Setopagis heterura,Todd's Nightjar,
Setopagis parvula,Little Nightjar,
Systellura longirostris,Band-winged Nightjar,
Caprimulgus jotaka,Gray Nightjar,
Oceanodroma socorroensis,Townsend's Storm-Petrel,
Oceanodroma microsoma,Least Storm-Petrel,
Oceanodroma jabejabe,Cape Verde Storm-Petrel,
Puffinus elegans,Subantarctic Shearwater,
Puffinus bailloni,Tropical Shearwater,
Puffinus subalaris,Galapagos Shearwater,
Puffinus bryani,Bryan's Shearwater,
Puffinus persicus,Persian Shearwater,
Puffinus bannermani,Bannerman's Shearwater,
Pterodroma gouldi,Gray-faced Petrel,
