common_name,scientific_name,alternative_common_names,alternative_scientific_names
Black-winged Ground-dove,Metriopelia melanoptera,"Black-winged Ground Dove, Black-winged Ground-Dove",
Golden-spotted Ground-dove,Metriopelia aymara,"Golden-spotted Ground-Dove, Golden-spotted Ground Dove",
Blue Ground-dove,Claravis pretiosa,"Blue Ground-Dove, Blue Ground Dove",
Long-tailed Ground-dove,Uropelia campestris,"Long-tailed Ground Dove, Long-tailed Ground-Dove",
Maroon-chested Ground-dove,Paraclaravis mondetoura,"Maroon-chested Ground-Dove, Maroon-chested Ground Dove",Claravis mondetoura
Purple-winged Ground-dove,Paraclaravis geoffroyi,"Purple-barred Ground-dove, Purple-winged Ground-Dove, Purple-winged Ground Dove",Claravis geoffroyi; Claravis godefrida
Blue-headed Quail-dove,Starnoenas cyanocephala,Blue-headed Quail-Dove,
New Guinea Bronzewing,Henicophaps albifrons,,
New Britain Bronzewing,Henicophaps foersteri,,
Luzon Bleeding-heart,Gallicolumba luzonica,"Bleeding Heart Dove, Bleeding Heart Pigeon, Paloma Apu�alada de Luz�n",
Mindanao Bleeding-heart,Gallicolumba crinigera,,
Mindoro Bleeding-heart,Gallicolumba platenae,,
Negros Bleeding-heart,Gallicolumba keayi,,
Sulu Bleeding-heart,Gallicolumba menagei,Tawitawi Bleeding-heart,
Sulawesi Ground-dove,Gallicolumba tristigmata,"Sulawesi Ground-Dove, Sulawesi Ground Dove",
Cinnamon Ground-dove,Gallicolumba rufigula,"Cinnamon Ground Dove, Cinnamon Ground-Dove",
,Gallicolumba norfolciensis,Norfolk Island Ground-Dove,
,Gallicolumba beccarii,"Bronze Ground-Dove, Bronze Ground Dove",
Wetar Ground-dove,Alopecoenas hoedtii,"Wetar Ground Dove, Wetar Ground-Dove",Gallicolumba hoedtii
White-breasted Ground-dove,Alopecoenas jobiensis,"White-bibbed Ground-Dove, Purple Ground Dove",Gallicolumba jobiensis
Caroline Ground-dove,Alopecoenas kubaryi,"Caroline Islands Ground-Dove, White-fronted Ground Dove",Gallicolumba kubaryi
White-throated Ground-dove,Alopecoenas xanthonurus,"White-throated Ground Dove, White-throated Ground-Dove",Gallicolumba xanthonura
Polynesian Ground-dove,Alopecoenas erythropterus,"Polynesian Ground-Dove, Polynesian Ground Dove, Society Islands Ground-dove, White-collared Ground-dove",Gallicolumba erythroptera
Marquesas Ground-dove,Alopecoenas rubescens,"Marquesan Ground-Dove, Marquesan Ground Dove",Gallicolumba rubescens
Western Bronze Ground-dove,Alopecoenas beccarii,,
Eastern Bronze Ground-dove,Alopecoenas johannae,,Gallicolumba johannae
Palau Ground-dove,Alopecoenas canifrons,"Palau Ground-Dove, Palau Ground Dove",Gallicolumba canifrons
Santa Cruz Ground-dove,Alopecoenas sanctaecrucis,"Santa Cruz Ground Dove, Santa Cruz Ground-Dove",Gallicolumba sanctaecrucis
Shy Ground-dove,Alopecoenas stairi,"Tongan Ground Dove, Friendly Ground-Dove",Gallicolumba stairi
Thick-billed Ground-dove,Alopecoenas salamonis,"Thick-billed Ground Dove, Thick-billed Ground-Dove",Gallicolumba salamonis
Tanna Ground-dove,Alopecoenas ferrugineus,Tanna Ground-Dove,Gallicolumba ferruginea
Wonga Pigeon,Leucosarcia melanoleuca,,Leucosarcia picata
Chestnut-quilled Rock-pigeon,Petrophassa rufipennis,"Chestnut-quilled Rock-Pigeon, Chestnut-quilled Rock Pigeon",
White-quilled Rock-pigeon,Petrophassa albipennis,"White-quilled Rock Pigeon, White-quilled Rock-Pigeon",
Spinifex Pigeon,Geophaps plumifera,,
Squatter Pigeon,Geophaps scripta,,
Partridge Pigeon,Geophaps smithii,,
,Geophaps plumifera,Spinifex Pigeon,
,Geophaps ferruginea,,
Common Bronzewing,Phaps chalcoptera,,
Brush Bronzewing,Phaps elegans,,
Flock Bronzewing,Phaps histrionica,,
Crested Pigeon,Ocyphaps lophotes,,Geophaps lophotes
Diamond Dove,Geopelia cuneata,,
Zebra Dove,Geopelia striata,"Barred Ground Dove, Columbine z�br�e",
Peaceful Dove,Geopelia placida,,
Barred Dove,Geopelia maugeus,,
Bar-shouldered Dove,Geopelia humeralis,,
,Geopelia striata,,
Thick-billed Ground-pigeon,Trugon terrestris,"Thick-billed Ground Pigeon, Thick-billed Ground-Pigeon",
White-naped Pheasant-pigeon,Otidiphaps aruensis,,
Green-naped Pheasant-pigeon,Otidiphaps nobilis,,
Grey-naped Pheasant-pigeon,Otidiphaps cervicalis,,
Black-naped Pheasant-pigeon,Otidiphaps insularis,,
,Otidiphaps nobilis,,
Choiseul Pigeon,Microgoura meeki,"Solomons Crested Pigeon, Solomon Islands Crowned-pigeon, Kuvojo",
Western Crowned-pigeon,Goura cristata,"Paloma Crestada Azul, Great Goura, Common Crowned Pigeon, Blue Crowned-pigeon, Western Crowned Pigeon, Western Crowned-Pigeon",
Sclater's Crowned-pigeon,Goura sclaterii,,
Scheepmaker's Crowned-pigeon,Goura scheepmakeri,Southern Crowned-pigeon,
Victoria Crowned-pigeon,Goura victoria,"Victoria Crowned Pigeon, Victoria Goura, Paloma Crestada Victoria, Victoria Crowned-Pigeon",
,Goura scheepmakeri,"Maroon-breasted Crowned-pigeon, Masked Goura, Paloma Crestada de Scheepmaker, Southern Crowned-Pigeon, Southern Crowned Pigeon",
Nicobar Pigeon,Caloenas nicobarica,"Paloma de Nicobar, Nicobar Dove",
Liverpool Pigeon,Caloenas maculata,,
Dodo,Raphus cucullatus,,
Rodrigues Solitaire,Pezophaps solitaria,Rodriguez Solitaire,
Tooth-billed Pigeon,Didunculus strigirostris,,
Grey-capped Emerald Dove,Chalcophaps indica,"Common Emerald Dove, Emerald Dove",
Brown-capped Emerald Dove,Chalcophaps longirostris,,
Stephan's Dove,Chalcophaps stephani,Stephan's Emerald Dove,
,Chalcophaps indica,Common Emerald Dove,
Emerald-spotted Wood-dove,Turtur chalcospilos,"Emerald-spotted Dove, Tourtelette �meraudine, Emerald-spotted Wood-Dove, Emerald-spotted Wood Dove",
Black-billed Wood-dove,Turtur abyssinicus,"Black-billed Wood Dove, Black-billed Dove, Emeraudine � bec noir, Black-billed Wood-Dove",
Blue-spotted Wood-dove,Turtur afer,"Blue-spotted Wood Dove, Blue-spotted Dove, Emeraudine � bec rouge, Blue-spotted Wood-Dove",
Tambourine Dove,Turtur tympanistria,Tourterelle tambourette,
Blue-headed Wood-dove,Turtur brehmeri,"Blue-headed Wood-Dove, Blue-headed Wood Dove, Tourterelle � t�te bleue",
Namaqua Dove,Oena capensis,Tourterelle � masque de fer,
White-eared Brown-dove,Phapitreron leucotis,,
Buff-eared Brown-dove,Phapitreron nigrorum,,
Short-billed Brown-dove,Phapitreron brevirostris,,
Amethyst Brown-dove,Phapitreron amethystinus,,
Grey-breasted Brown-dove,Phapitreron maculipectus,,
Cebu Brown-dove,Phapitreron frontalis,,
Dark-eared Brown-dove,Phapitreron brunneiceps,,
Tawitawi Brown-dove,Phapitreron cinereiceps,Dark-eared Brown Dove,
,Phapitreron cinereiceps,Dark-eared Brown-Dove,
,Phapitreron amethystinus,"Amethyst Brown-Dove, Amethyst Brown Dove",Phapitreron amethystina
,Phapitreron leucotis,"White-eared Brown-Dove, White-eared Brown Dove",
Cinnamon-headed Green-pigeon,Treron fulvicollis,"Cinnamon-headed Green-Pigeon, Cinnamon-headed Green Pigeon",
Little Green-pigeon,Treron olax,"Little Green-Pigeon, Little Green Pigeon",
Pink-necked Green-pigeon,Treron vernans,"Pink-necked Green-Pigeon, Pink-necked Green Pigeon",
Orange-breasted Green-pigeon,Treron bicinctus,"Orange-breasted Green-Pigeon, Orange-breasted Green Pigeon",Treron bicincta
Ashy-headed Green-pigeon,Treron phayrei,,
Grey-fronted Green-pigeon,Treron affinis,,
Sri Lanka Green-pigeon,Treron pompadora,"Pompadour Green Pigeon, Pompadour Green-Pigeon, Pompadour Green-pigeon",
Andaman Green-pigeon,Treron chloropterus,,
Philippine Green-pigeon,Treron axillaris,,
Buru Green-pigeon,Treron aromaticus,,
Thick-billed Green-pigeon,Treron curvirostra,"Thick-billed Green Pigeon, Thick-billed Green-Pigeon",
Grey-cheeked Green-pigeon,Treron griseicauda,"Grey-cheeked Green Pigeon, Grey-cheeked Green-Pigeon",
Sumba Green-pigeon,Treron teysmannii,"Sumba Green-Pigeon, Sumba Green Pigeon",Treron teysmanni
Flores Green-pigeon,Treron floris,"Flores Green Pigeon, Flores Green-Pigeon",Treron flores
Timor Green-pigeon,Treron psittaceus,"Timor Green Pigeon, Timor Green-Pigeon",Treron psittacea
Large Green-pigeon,Treron capellei,"Large Green Pigeon, Large Green-Pigeon",
Yellow-footed Green-pigeon,Treron phoenicopterus,"Yellow-footed Green Pigeon, Yellow-footed Green-Pigeon",Treron phoenicoptera
Bruce's Green-pigeon,Treron waalia,"Pigeon � �paulettes violettes, Bruce's Green-Pigeon, Bruce's Green Pigeon",
Comoro Green-pigeon,Treron griveaudi,,
Madagascar Green-pigeon,Treron australis,,
African Green-pigeon,Treron calvus,,
Grey-breasted Green-pigeon,Treron delalandii,,
Pemba Green-pigeon,Treron pembaensis,"Pemba Green-Pigeon, Pemba Green Pigeon",
Sao Tome Green-pigeon,Treron sanctithomae,"S�o Tom� Green-pigeon, Sao Tome Green-Pigeon, Sao Tom� Green-pigeon, Sao Tome Green Pigeon",
Pin-tailed Green-pigeon,Treron apicauda,"Pin-tailed Green-Pigeon, Pin-tailed Green Pigeon",
Sumatran Green-pigeon,Treron oxyurus,"Sumatran Green Pigeon, Sumatran Green-Pigeon",Treron oxyura
Yellow-vented Green-pigeon,Treron seimundi,"Yellow-vented Green Pigeon, Yellow-vented Green-Pigeon",
Wedge-tailed Green-pigeon,Treron sphenurus,"Wedge-tailed Green-Pigeon, Wedge-tailed Green Pigeon",Treron sphenura
White-bellied Green-pigeon,Treron sieboldii,"White-bellied Green Pigeon, White-bellied Green-Pigeon",
Ryukyu Green-pigeon,Treron permagnus,,
Taiwan Green-pigeon,Treron formosae,"Whistling Green-Pigeon, Whistling Green Pigeon, Whistling Green-pigeon",
,Treron australis,"Pigeon vert, Green Pigeon",
,Treron australis,"Madagascar Green-Pigeon, Madagascar Green Pigeon",
,Treron pompadora,"Pompadour Green Pigeon, Pompadour Green-Pigeon",
,Treron calvus,"African Green Pigeon, African Green-Pigeon",
,Treron formosae,"Whistling Green Pigeon, Whistling Green-Pigeon",
Pink-bellied Imperial-pigeon,Ducula poliocephala,"Pink-bellied Imperial Pigeon, Pink-bellied Imperial-Pigeon, D�cula Ventrirrosa",
White-bellied Imperial-pigeon,Ducula forsteni,"White-bellied Imperial-Pigeon, White-bellied Imperial Pigeon",
Mindoro Imperial-pigeon,Ducula mindorensis,"Mindoro Imperial-Pigeon, Paloma de Mindoro, Mindoro Zone-tailed Pigeon, Mindoro Imperial Pigeon",
Grey-headed Imperial-pigeon,Ducula radiata,"Grey-headed Imperial Pigeon, Grey-headed Imperial-Pigeon",
Spotted Imperial-pigeon,Ducula carola,"Spotted Imperial Pigeon, Spotted Imperial-Pigeon",
Green Imperial-pigeon,Ducula aenea,"Green Imperial Pigeon, Green Imperial-Pigeon",
Enggano Imperial-pigeon,Ducula oenothorax,,
Spectacled Imperial-pigeon,Ducula perspicillata,White-eyed Imperial-pigeon,
Seram Imperial-pigeon,Ducula neglecta,,
Blue-tailed Imperial-pigeon,Ducula concinna,"Elegant Imperial-Pigeon, Elegant Imperial Pigeon",
Pacific Imperial-pigeon,Ducula pacifica,"Pacific Imperial Pigeon, Pacific Imperial-Pigeon",
Micronesian Imperial-pigeon,Ducula oceanica,"Micronesian Imperial Pigeon, Micronesian Imperial-Pigeon",
Polynesian Imperial-pigeon,Ducula aurorae,"Polynesian Imperial Pigeon, Society Islands Pigeon, Polynesian Imperial-Pigeon",
Nukuhiva Imperial-pigeon,Ducula galeata,"Marquesan Imperial Pigeon, Marquesan Imperial-Pigeon",
Red-knobbed Imperial-pigeon,Ducula rubricera,"Red-knobbed Imperial Pigeon, Red-knobbed Imperial-Pigeon",
Spice Imperial-pigeon,Ducula myristicivora,,
Geelvink Imperial-pigeon,Ducula geelvinkiana,,
Purple-tailed Imperial-pigeon,Ducula rufigaster,"Purple-tailed Imperial Pigeon, Purple-tailed Imperial-Pigeon",
Cinnamon-bellied Imperial-pigeon,Ducula basilica,"Cinnamon-bellied Imperial-Pigeon, Cinnamon Imperial Pigeon",
Rusty Imperial-pigeon,Ducula obiensis,,
Finsch's Imperial-pigeon,Ducula finschii,"Growling Imperial Pigeon, Finsch's Imperial-Pigeon",
Shining Imperial-pigeon,Ducula chalconota,"Shining Imperial Pigeon, Shining Imperial-Pigeon",
Island Imperial-pigeon,Ducula pistrinaria,"Island Imperial-Pigeon, Floury Imperial Pigeon",
Pink-headed Imperial-pigeon,Ducula rosacea,"Pink-headed Imperial-Pigeon, Pink-headed Imperial Pigeon",
Christmas Imperial-pigeon,Ducula whartoni,"Christmas Island Imperial-Pigeon, Christmas Imperial Pigeon, Christmas Island Imperial Pigeon",
Grey Imperial-pigeon,Ducula pickeringii,"Grey Imperial Pigeon, Grey Imperial-Pigeon",
Barking Imperial-pigeon,Ducula latrans,"Barking Imperial Pigeon, Peale's Imperial-Pigeon",
Chestnut-bellied Imperial-pigeon,Ducula brenchleyi,"Chestnut-bellied Imperial Pigeon, Chestnut-bellied Imperial-Pigeon",
Vanuatu Imperial-pigeon,Ducula bakeri,"Vanuatu Imperial Pigeon, Baker's Imperial-Pigeon",
New Caledonian Imperial-pigeon,Ducula goliath,"Giant Imperial-pigeon, Goliath Imperial Pigeon, New Caledonian Imperial-Pigeon",
Pinon's Imperial-pigeon,Ducula pinon,Pinon Imperial-pigeon,
Louisiade Imperial-pigeon,Ducula salvadorii,,
Bismarck Imperial-pigeon,Ducula melanochroa,"Bismarck Imperial-Pigeon, Black Imperial Pigeon",
Collared Imperial-pigeon,Ducula mullerii,"Collared Imperial Pigeon, Collared Imperial-Pigeon",
Zoe's Imperial-pigeon,Ducula zoeae,"Banded Imperial-Pigeon, Zoe Imperial Pigeon",
Nilgiri Imperial-pigeon,Ducula cuprea,,
Mountain Imperial-pigeon,Ducula badia,,
Dark-backed Imperial-pigeon,Ducula lacernulata,"Dark-backed Imperial-Pigeon, Dark-backed Imperial Pigeon",
Timor Imperial-pigeon,Ducula cineracea,"Timor Imperial-Pigeon, Timor Imperial Pigeon",
Pied Imperial-pigeon,Ducula bicolor,"Pied Imperial-Pigeon, Pied Imperial Pigeon",
Torresian Imperial-pigeon,Ducula spilorrhoa,Torresian Imperial Pigeon,
Yellowish Imperial-pigeon,Ducula subflavescens,"Bismarck Imperial Pigeon, Yellow-tinted Imperial-Pigeon",
White Imperial-pigeon,Ducula luctuosa,White Imperial-Pigeon,
,Ducula spilorrhoa,Torresian Imperial-Pigeon,
,Ducula constans,Kimberley Imperial-Pigeon,
,Ducula bicolor,"Pied Imperial-Pigeon, Pied Imperial Pigeon",
,Ducula aenea,"Green Imperial Pigeon, Green Imperial-Pigeon",
,Ducula badia,"Mountain Imperial-Pigeon, Mountain Imperial Pigeon",
,Ducula basilica,"Cinnamon-bellied Imperial-Pigeon, Cinnamon Imperial Pigeon",
,Ducula myristicivora,"Spice Imperial-Pigeon, Spice Imperial Pigeon",
,Ducula perspicillata,"Spectacled Imperial Pigeon, White-eyed Imperial-Pigeon",
,Ducula pinon,"Pinon Imperial Pigeon, Pinon Imperial-Pigeon",
,Ducula spilorrhoa,,
Wompoo Fruit-dove,Megaloprepia magnifica,"Wompoo Fruit-Dove, Wompoo Fruit Dove",Ptilinopus magnificus
Scarlet-breasted Fruit-dove,Megaloprepia formosa,"Scarlet-breasted Fruit Dove, Scarlet-breasted Fruit-Dove",Ptilinopus bernsteinii
Cream-bellied Fruit-dove,Ramphiculus merrilli,"Cream-breasted Fruit Dove, Cream-bellied Fruit-Dove",Ptilinopus merrilli
Flame-breasted Fruit-dove,Ramphiculus marchei,"Flame-breasted Fruit Dove, Flame-breasted Fruit-Dove",Ptilinopus marchei
Black-chinned Fruit-dove,Ramphiculus leclancheri,"Black-chinned Fruit-Dove, Black-chinned Fruit Dove",Ptilinopus leclancheri
Jambu Fruit-dove,Ramphiculus jambu,"Jambu Fruit-Dove, Jambu Fruit Dove",Ptilinopus jambu
Maroon-chinned Fruit-dove,Ramphiculus epius,,
Banggai Fruit-dove,Ramphiculus subgularis,,
Sula Fruit-dove,Ramphiculus mangoliensis,,
Red-eared Fruit-dove,Ramphiculus fischeri,,
Lompobattang Fruit-dove,Ramphiculus meridionalis,,
Yellow-breasted Fruit-dove,Ramphiculus occipitalis,"Yellow-breasted Fruit-Dove, Yellow-breasted Fruit Dove",Ptilinopus occipitalis
Mauritius Blue-pigeon,Alectroenas nitidissimus,Mauritius Blue-Pigeon,Alectroenas nitidissima
Rodrigues Blue-pigeon,Alectroenas payandeei,,
Madagascar Blue-pigeon,Alectroenas madagascariensis,"Madagascar Blue-Pigeon, Madagascar Blue Pigeon, Founingo bleu",
Comoro Blue-pigeon,Alectroenas sganzini,"Comoro Blue-Pigeon, Founingo des Comores, Comoros Blue Pigeon, Comoro Blue Pigeon",
Seychelles Blue-pigeon,Alectroenas pulcherrimus,"Seychelles Blue Pigeon, Seychelles Blue-Pigeon, Founingo rouge-cap",
Cloven-feathered Dove,Drepanoptila holosericea,,
Orange Dove,Chrysoena victor,Orange Fruit Dove,Ptilinopus victor
Golden Dove,Chrysoena luteovirens,Golden Fruit Dove,Ptilinopus luteovirens
Whistling Dove,Chrysoena viridis,Whistling Fruit Dove,Ptilinopus layardi
Dwarf Fruit-dove,Ptilinopus nainus,Dwarf Fruit-Dove,
Negros Fruit-dove,Ptilinopus arcanus,"Negros Fruit Dove, Negros Fruit-Dove",
Black-naped Fruit-dove,Ptilinopus melanospilus,"Black-naped Fruit Dove, Black-naped Fruit-Dove",Ptilinopus melanospila
Black-backed Fruit-dove,Ptilinopus cinctus,Black-backed Fruit-Dove,
Grey-rumped Fruit-dove,Ptilinopus alligator,Black-banded Fruit-Dove,
Red-naped Fruit-dove,Ptilinopus dohertyi,"Red-naped Fruit Dove, Red-naped Fruit-Dove",
Pink-headed Fruit-dove,Ptilinopus porphyreus,"Pink-headed Fruit Dove, Pink-headed Fruit-Dove",
Western Superb Fruit-dove,Ptilinopus temminckii,,
Eastern Superb Fruit-dove,Ptilinopus superbus,"Superb Fruit Dove, Superb Fruit-Dove, Superb Fruit-dove",
White-bibbed Fruit-dove,Ptilinopus rivoli,"White-bibbed Fruit Dove, White-bibbed Fruit-Dove",
Geelvink Fruit-dove,Ptilinopus speciosus,,
Yellow-banded Fruit-dove,Ptilinopus solomonensis,Yellow-bibbed Fruit-dove,
Tanna Fruit-dove,Ptilinopus tannensis,"Tanna Fruit Dove, Tanna Fruit-Dove",
Grey-headed Fruit-dove,Ptilinopus hyogastrus,"Grey-headed Fruit-Dove, Grey-headed Fruit Dove",Ptilinopus hyogastra
Carunculated Fruit-dove,Ptilinopus granulifrons,"Carunculated Fruit-Dove, Carunculated Fruit Dove",
Wallace's Fruit-dove,Ptilinopus wallacii,"Wallace's Fruit Dove, Wallace's Fruit-Dove",
Orange-fronted Fruit-dove,Ptilinopus aurantiifrons,"Orange-fronted Fruit Dove, Orange-fronted Fruit-Dove",
Western Ornate Fruit-dove,Ptilinopus ornatus,,
Eastern Ornate Fruit-dove,Ptilinopus gestroi,,
Pink-spotted Fruit-dove,Ptilinopus perlatus,"Pink-spotted Fruit-Dove, Pink-spotted Fruit Dove",
Orange-bellied Fruit-dove,Ptilinopus iozonus,"Orange-bellied Fruit-Dove, Orange-bellied Fruit Dove",
Knob-billed Fruit-dove,Ptilinopus insolitus,"Knob-billed Fruit Dove, Knob-billed Fruit-Dove",
Claret-breasted Fruit-dove,Ptilinopus viridis,"Claret-breasted Fruit Dove, Claret-breasted Fruit-Dove",
White-headed Fruit-dove,Ptilinopus eugeniae,"White-headed Fruit Dove, White-headed Fruit-Dove",
Beautiful Fruit-dove,Ptilinopus pulchellus,"Beautiful Fruit-Dove, Beautiful Fruit Dove",
Blue-capped Fruit-dove,Ptilinopus monacha,"Blue-capped Fruit Dove, Blue-capped Fruit-Dove",
Coroneted Fruit-dove,Ptilinopus coronulatus,"Coroneted Fruit-Dove, Coroneted Fruit Dove",
Rose-crowned Fruit-dove,Ptilinopus regina,"Rose-crowned Fruit Dove, Rose-crowned Fruit-Dove",
Red-moustached Fruit-dove,Ptilinopus mercierii,"Red-moustached Fruit-Dove, Moustached Fruit Dove",
White-capped Fruit-dove,Ptilinopus dupetithouarsii,"White-capped Fruit-Dove, White-capped Fruit Dove",
Palau Fruit-dove,Ptilinopus pelewensis,"Palau Fruit-Dove, Palau Fruit Dove",
Silver-capped Fruit-dove,Ptilinopus richardsii,"Silver-capped Fruit-Dove, Silver-capped Fruit Dove",
Mariana Fruit-dove,Ptilinopus roseicapilla,"Mariana Fruit Dove, Mariana Fruit-Dove",
Pohnpei Fruit-dove,Ptilinopus ponapensis,,
Kosrae Fruit-dove,Ptilinopus hernsheimi,,
Red-bellied Fruit-dove,Ptilinopus greyi,"Red-bellied Fruit-Dove, Red-bellied Fruit Dove",
Tongan Fruit-dove,Ptilinopus porphyraceus,,
Samoan Fruit-dove,Ptilinopus fasciatus,,
Many-coloured Fruit-dove,Ptilinopus perousii,"Many-colored Fruit Dove, Many-colored Fruit-Dove",
Rapa Fruit-dove,Ptilinopus huttoni,"Rapa Fruit Dove, Rapa Fruit-Dove",
Henderson Fruit-dove,Ptilinopus insularis,"Henderson Island Fruit-Dove, Scarlet-capped Fruit Dove",
Makatea Fruit-dove,Ptilinopus chalcurus,"Makatea Fruit-Dove, Makatea Fruit Dove",
Atoll Fruit-dove,Ptilinopus coralensis,"Atoll Fruit Dove, Atoll Fruit-Dove",
Raiatea Fruit-dove,Ptilinopus chrysogaster,,
Rarotonga Fruit-dove,Ptilinopus rarotongensis,"Lilac-crowned Fruit Dove, Cook Islands Fruit-Dove",
Grey-green Fruit-dove,Ptilinopus purpuratus,,
,Ptilinopus purpuratus,"Grey-green Fruit Dove, Grey-green Fruit-Dove",
,Ptilinopus cinctus,"Banded Fruit Dove, Banded Fruit-Dove",
,Ptilinopus porphyraceus,"Crimson-crowned Fruit-Dove, Crimson-crowned Fruit Dove",
,Ptilinopus ornatus,"Ornate Fruit Dove, Ornate Fruit-Dove",
,Ptilinopus solomonensis,"Yellow-bibbed Fruit Dove, Yellow-bibbed Fruit-Dove",
,Ptilinopus superbus,"Superb Fruit Dove, Superb Fruit-Dove",
,Ptilinopus subgularis,"Maroon-chinned Fruit Dove, Maroon-chinned Fruit-Dove",
,Ptilinopus fischeri,"Red-eared Fruit-Dove, Red-eared Fruit Dove",
New Zealand Pigeon,Hemiphaga novaeseelandiae,,
Chatham Pigeon,Hemiphaga chathamensis,,
,Hemiphaga spadicea,Norfolk Island Pigeon,
,Hemiphaga novaeseelandiae,,
Sombre Pigeon,Cryptophaps poecilorrhoa,,
Papuan Mountain-pigeon,Gymnophaps albertisii,"Papuan Mountain Pigeon, Papuan Mountain-Pigeon",
Seram Mountain-pigeon,Gymnophaps stalkeri,,
Buru Mountain-pigeon,Gymnophaps mada,,
Pale Mountain-pigeon,Gymnophaps solomonensis,"Pale Mountain Pigeon, Pale Mountain-Pigeon",
,Gymnophaps mada,"Long-tailed Mountain Pigeon, Long-tailed Mountain-Pigeon",
Topknot Pigeon,Lopholaimus antarcticus,,
,Stigmatopelia chinensis,"Spotted Turtle-Dove, Tourterelle tigrine",Streptopelia chinensis
,Dysmoropelia dekarchiskos,,
Pallas's Sandgrouse,Syrrhaptes paradoxus,,
Tibetan Sandgrouse,Syrrhaptes tibetanus,,
Black-bellied Sandgrouse,Pterocles orientalis,,
Namaqua Sandgrouse,Pterocles namaqua,Ganga namaqua,
Chestnut-bellied Sandgrouse,Pterocles exustus,Ganga � ventre ch�tain,
Spotted Sandgrouse,Pterocles senegallus,Ganga tachet�,
Yellow-throated Sandgrouse,Pterocles gutturalis,Ganga � gorge jaune,
Madagascar Sandgrouse,Pterocles personatus,Ganga masqu�,
Crowned Sandgrouse,Pterocles coronatus,Ganga couronn�,
Pin-tailed Sandgrouse,Pterocles alchata,,
Burchell's Sandgrouse,Pterocles burchelli,Ganga de Burchell,
Black-faced Sandgrouse,Pterocles decoratus,Ganga � face noire,
Double-banded Sandgrouse,Pterocles bicinctus,Ganga bibande,
Four-banded Sandgrouse,Pterocles quadricinctus,Ganga quadribande,
Lichtenstein's Sandgrouse,Pterocles lichtensteinii,Ganga de Lichtenstein,
Painted Sandgrouse,Pterocles indicus,,
Oilbird,Steatornis caripensis,,
Solomons Frogmouth,Rigidipenna inexpectata,,
Marbled Frogmouth,Podargus ocellatus,,
Papuan Frogmouth,Podargus papuensis,,
Tawny Frogmouth,Podargus strigoides,,
,Podargus ocellatus,,
Large Frogmouth,Batrachostomus auritus,,
Dulit Frogmouth,Batrachostomus harterti,,
Philippine Frogmouth,Batrachostomus septimus,,
Gould's Frogmouth,Batrachostomus stellatus,,
Sri Lanka Frogmouth,Batrachostomus moniliger,Ceylon Frogmouth,
Hodgson's Frogmouth,Batrachostomus hodgsoni,,
Short-tailed Frogmouth,Batrachostomus poliolophus,,
Bornean Frogmouth,Batrachostomus mixtus,,
Horsfield's Frogmouth,Batrachostomus javensis,,Batrachostomus affinis; Batrachostomus pygmaeus
Sunda Frogmouth,Batrachostomus cornutus,,
,Batrachostomus pygmaeus,Pygmy Frogmouth�����,
,Batrachostomus javensis,,
,Batrachostomus affinis,,
Great Potoo,Nyctibius grandis,,
Long-tailed Potoo,Nyctibius aethereus,,
Northern Potoo,Nyctibius jamaicensis,,
Common Potoo,Nyctibius griseus,,
Andean Potoo,Nyctibius maculosus,,
White-winged Potoo,Nyctibius leucopterus,,
Rufous Potoo,Phyllaemulor bracteatus,,Nyctibius bracteatus
Spotted Nightjar,Eurostopodus argus,Spotted Eared-Nightjar,
White-throated Nightjar,Eurostopodus mystacalis,"White-throated Eared-Nightjar, White-throated Eared-nightjar",
Solomons Nightjar,Eurostopodus nigripennis,,
New Caledonian Nightjar,Eurostopodus exul,,
Heinrich's Nightjar,Eurostopodus diabolicus,"Satanic Eared-Nightjar, Satanic Nightjar",
Archbold's Nightjar,Eurostopodus archboldi,"Cloud-forest Nightjar, Mountain Eared-Nightjar",
Papuan Nightjar,Eurostopodus papuensis,Papuan Eared-Nightjar,
,Eurostopodus mystacalis,White-throated Eared-Nightjar,
Great Eared-nightjar,Lyncornis macrotis,"Great Eared Nightjar, Great Eared-Nightjar",Eurostopodus macrotis
Malay Eared-nightjar,Lyncornis temminckii,"Malaysian Eared Nightjar, Malaysian Eared-Nightjar",Eurostopodus temminckii
Collared Nightjar,Gactornis enarratus,Engoulevent � collier,Caprimulgus enarratus
Nacunda Nighthawk,Chordeiles nacunda,,Podager nacunda
Least Nighthawk,Chordeiles pusillus,,
Common Nighthawk,Chordeiles minor,,
Antillean Nighthawk,Chordeiles gundlachii,,
Lesser Nighthawk,Chordeiles acutipennis,,
Sand-colored Nighthawk,Chordeiles rupestris,,
Short-tailed Nighthawk,Lurocalis semitorquatus,,
Rufous-bellied Nighthawk,Lurocalis rufiventris,,
Band-tailed Nighthawk,Nyctiprogne leucopyga,,
Bahian Nighthawk,Nyctiprogne vielliardi,,Chordeiles vielliardi
Blackish Nightjar,Nyctipolus nigrescens,,Caprimulgus nigrescens
Pygmy Nightjar,Nyctipolus hirundinaceus,,Caprimulgus hirundinaceus
Tepui Nightjar,Systellura roraimae,,Caprimulgus roraimae_new
Lesser Band-winged Nightjar,Systellura decussata,,
Greater Band-winged Nightjar,Systellura longirostris,Band-winged Nightjar,Caprimulgus longirostris_new
Pauraque,Nyctidromus albicollis,,
